TITLE;COMPANY;LOCATION;T_WORK;T_CONTRACT;SALARY;EXCEL;PYTHON;R;SAS;STATA;VBA;SQL;POWER_BI;WEBSITE
Technical Support Analyst;Colas;Levis, QC;;;;yes;no;no;no;no;no;no;no;https://ca.indeed.com/rc/clk?jk=7884cb72f5d3b677&fccid=5681263b7f879de6&vjs=3
0625   Referent technique Power BI;agileDSS;Ville de Quebec, QC;;  Temps plein;$105,000–$120,000 a year;yes;no;no;no;no;no;no;yes;https://ca.indeed.com/rc/clk?jk=de35a5e98ddb897e&fccid=b9c61d63cdbdfebf&vjs=3
Salesforce Data & Reporting Analyst;Onix Networking Corp;Ville de Quebec, QC;Teletravail;Temps plein;;yes;no;no;no;no;no;yes;no;https://ca.indeed.com/rc/clk?jk=c9942af3e2dd598d&fccid=cdf5f442bc9a18df&vjs=3
Reporting Analyst;BGIS;Ville de Quebec, QC;;Temps plein;;yes;no;no;no;no;no;no;no;https://ca.indeed.com/rc/clk?jk=0a61c038e7b6a488&fccid=84c23fbcabc14d59&vjs=3
Specialiste BI;Akinox Solutions;Levis, QC;Teletravail temporaire;Temps plein;;no;no;no;no;no;no;yes;yes;https://ca.indeed.com/company/Akinox Solutions/jobs/Sp%C3%A9cialiste Bi 88d26a27f4e4de41?fccid=0eba51676d33c2ae&vjs=3
Data Security Analyst;CWB Financial Group;;;Temps plein;;no;no;yes;no;no;no;no;no;https://ca.indeed.com/pagead/clk?mo=r&ad= 6NYlbfkN0Bu2yD1aBvglF2nb SrCLVU09dz5bwD8PDGF2LhkPJXTi6Dh_0xsyxUJUOw6CwpNQxmDSKrpLP_8u6rBpp7wnYxO6RoCmkdai3XXBHfcqSdXMzMUI3RSyYrjI1Rrbomh0KNwhs  bSakGChoxYXaEOPpIVu1oS YZVk4NyQIhudx1PYHHGZbvsY6wgypNZzCCtVMbUFrPy7s3IhVpi1vmDsFK9en8nXyGC6TKQks2KVQ0j6iz6UXPgIVrAfsPBjwsItDdGK2Irj6apG3JZLTM9CN1ZNOgLD4Lxssmm6tI4U9xFi_7dj4gKPwU 2HVwZB9SANpLGvk5REqvTbsea8k9q58Z5m uv1IHlYMrEqCLpiGJKbaMVY3Z8oGd0jPqWn4Dn2 FV6ypOgfLy14lt7nR8YesPMgLS68HiBzsAqfHmErqkQkzZE94POXqlkdwlVBH99V60XlaCSVOH8hnEFUzSjidD8_0UXA KaqI8xgoAq37c06K3lQQPJipzizvSWEVmkQJ7qtjMXUuzKijfzepnxIyg7_1GEdOeBrDZaV6KJRIHy 1P3RiIc7f 6RKF4XIeS11zN7CyaaLHjDpaj5_SVvn  G2jzG6uAjPzSDH1rcF66u6_z_eVwhlRNWQeYTfr1gTDu44AmJ0D0UZk9WZ8L2zwBlUolqTAOvWv5yb83 peuRkwjdIorP0FwDbIzKXV9TBG0BgwWg==&xkcb=SoBA _M3bkCs9SWYMZ0LbzkdCdPP&p=5&fvj=0&vjs=3
Analyst, Process Engineering;Canada Post   Postes Canada;Ville de Quebec, QC;;Temps plein;;yes;no;no;no;no;no;yes;no;https://ca.indeed.com/rc/clk?jk=90c5ef5c448e08d8&fccid=374645c6f57513c7&vjs=3
Data Analyst;Kal Tire;Ville de Quebec, QC;;Temps plein;;yes;yes;no;no;no;no;yes;yes;https://ca.indeed.com/rc/clk?jk=f69361a4854e194b&fccid=c288d8a94e53b663&vjs=3
Game Analyst;Ubisoft;Ville de Quebec, QC;;Temps plein;;yes;yes;yes;no;no;no;yes;no;https://ca.indeed.com/rc/clk?jk=300928ae055a34d8&fccid=237908de095b6446&vjs=3
Business Analyst / Analyste d’affaires bilingue;CBI Health;Ville de Quebec, QC;;Temps plein;;yes;no;yes;no;no;no;no;no;https://ca.indeed.com/rc/clk?jk=0560e5f2bf0ab623&fccid=bcd3b3ffdbf2bcbf&vjs=3
Business Analyst;Jerry;Ville de Quebec, QC;Teletravail;Temps plein;;yes;yes;no;no;no;no;yes;yes;https://ca.indeed.com/rc/clk?jk=072763f097c09745&fccid=204c8e2f615ab5bb&vjs=3
